time,temperature
1726543779.5973797,0.0
1726543781.5992224,74.1171875
1726543783.6031704,74.2015625
1726543785.6055532,74.2015625
1726543787.6072848,74.24375
1726543789.6084754,74.25078125
1726543791.6102042,74.2859375
1726543793.6122386,74.328125
1726543795.6142282,74.3421875
1726543797.6159275,74.384375
1726543799.618921,74.44765625
1726543801.6199982,74.4828125
1726543803.6225977,74.50390625
1726543805.6242728,74.6375
1726543807.6252773,74.70781249999999
1726543809.6390162,74.79921875
1726543811.6400404,74.91171875
1726543813.6420035,75.0453125
1726543815.6440022,75.2984375
1726543817.6450813,75.44609375
1726543819.6471415,75.6640625
1726543821.6491501,75.81171875000001
1726543823.652561,76.05781250000001
1726543825.6544065,76.38828125
1726543827.6565404,76.5640625
1726543829.658534,76.9296875
1726543831.6697068,77.33046875
1726543833.6716514,77.6890625
1726543835.6736217,77.984375
1726543837.6753633,78.35703125
1726543839.6776578,78.73671875
1726543841.6797183,79.1234375
1726543843.6824896,79.55937499999999
1726543845.6844997,79.953125
1726543847.6868732,80.459375
1726543849.6890032,80.91640625
1726543851.6915505,81.49296875
1726543853.6925764,81.90078125
1726543855.7018585,82.3578125
1726543857.7038457,83.0046875
1726543859.7074904,83.63749999999999
1726543861.7094367,84.2984375
1726543863.7114294,84.81875
1726543865.7125213,85.353125
1726543867.713537,86.1125
1726543869.7179549,86.75234375
1726543871.7191305,87.378125
1726543873.7238944,88.109375
1726543875.7266047,88.83359375
1726543877.7278023,89.63515625
1726543879.738171,90.4296875
1726543881.7392037,91.10468750000001
1726543883.740871,91.90625
1726543885.7428634,92.8203125
1726543887.7447207,93.60078125
1726543889.74686,94.39531249999999
1726543891.7478952,95.2390625
1726543893.7498536,96.1953125
1726543895.7519488,97.01796875
1726543897.75299,97.94609374999999
1726543899.7586732,99.021875
1726543901.760677,99.80234375
1726543903.7623823,100.78671875
1726543905.7643533,101.7640625
1726543907.765433,102.76249999999999
1726543909.7674532,103.69062500000001
1726543911.769446,104.71015625000001
1726543913.7711587,105.6171875
1726543915.7731586,106.6859375
1726543917.7742093,107.740625
1726543919.777602,108.77421875
1726543921.7787616,109.9203125
1726543923.7804375,110.99609375
1726543925.78242,112.05781250000001
1726543927.7834885,113.17578125
1726543929.7844841,114.2234375
1726543931.7868485,115.25
1726543933.787838,116.35390625
1726543935.7897184,117.63359374999999
1726543937.7907517,118.73046875
1726543939.792692,119.890625
1726543941.7946734,121.015625
1726543943.7957306,122.37265625
1726543945.7977939,123.51171875
1726543947.799527,124.65078125
1726543949.806735,126.00078124999999
1726543951.8087323,127.1609375
1726543953.8097823,128.3703125
1726543955.8117254,129.51640625
1726543957.8127754,130.68359375
1726543959.8147051,132.00546875
1726543961.8206172,133.4890625
1726543963.8216503,134.78281249999998
1726543965.8236208,135.95703125
1726543967.8286498,137.23671875
1726543969.8296766,138.44609375
1726543971.8372934,139.9296875
1726543973.8383708,141.24453125
1726543975.8418477,142.62265625
1726543977.842971,143.965625
1726543979.8449817,145.2875
1726543981.8473375,146.5953125
1726543983.8591418,148.015625
1726543985.8611405,149.2390625
1726543987.8631556,150.6453125
1726543989.8642292,152.0515625
1726543991.8652484,153.40859375
1726543993.86631,154.73046875
1726543995.8709714,156.10859375
1726543997.8720226,157.5921875
1726543999.8776479,158.9703125
1726544001.88371,160.42578125
1726544003.8908582,162.0359375
1726544005.8928404,163.5265625
1726544007.8948514,164.99609375
1726544009.8959086,166.409375
1726544011.8979487,167.73828125
1726544013.8990545,169.2921875
1726544015.9012725,170.8390625
1726544017.9050155,172.25234375
1726544019.9070754,173.63046875
1726544021.9098113,175.23359375
1726544023.919145,176.79453124999998
1726544025.921143,178.34140624999998
1726544027.922232,179.825
1726544029.9241915,181.26640625
1726544031.9262002,182.68671875
1726544033.9283898,184.16328125
1726544035.9334886,185.703125
1726544037.936846,187.2078125
1726544039.9384968,188.6984375
1726544041.9404583,190.05546875
1726544043.9508786,191.92578125
1726544045.9518483,193.59921874999998
1726544047.9537687,195.17421875
1726544049.9554274,196.7703125
1726544051.9577637,198.359375
1726544053.9608881,199.87109375
1726544055.962057,201.453125
1726544057.9665918,203.0140625
1726544059.968342,204.61015625
1726544061.9703174,206.26953125
1726544063.9723713,207.70390625
1726544065.9750636,209.6375
1726544067.9771218,211.2265625
1726544069.978177,212.69609375
1726544071.979137,214.25703125
1726544073.981026,215.76875
1726544075.9865391,217.315625
1726544077.987642,218.89765625
1726544079.988728,220.6484375
1726544081.990668,222.18828125
1726544083.9917052,223.7421875
1726544085.9936929,225.40859375000002
1726544087.9956768,227.44765625
1726544089.9967904,229.184375
1726544091.9987636,230.6046875
1726544093.9998202,232.22890625000002
1726544096.00276,233.91640625000002
1726544098.0072706,235.53359375
1726544100.0083873,237.22109375
1726544102.00954,238.83125
1726544104.0131178,240.3921875
1726544106.0151184,242.065625
1726544108.017945,243.92890625
1726544110.0190036,245.36328125
1726544112.020963,247.27578125
1726544114.0229907,248.85078125
1726544116.024972,250.51015625
1726544118.0260737,252.0640625
1726544120.027386,253.82187499999998
1726544122.0328395,255.46015625
1726544124.0338817,257.09140625
1726544126.0383291,258.65234375
1726544128.0393503,260.515625
1726544130.0403938,262.16796875
1726544132.042347,263.84140625
1726544134.0471652,265.5078125
1726544136.0491464,267.25859375
1726544138.0513237,268.9953125
1726544140.0532646,270.6265625
1726544142.0573237,272.3984375
1726544144.058342,274.0015625
1726544146.0602932,275.61171875
1726544148.0622592,277.31328125
1726544150.0648513,279.190625
1726544152.0659251,280.8078125
1726544154.0671213,282.3828125
1726544156.069092,284.084375
1726544158.074222,285.79999999999995
1726544160.075916,287.43125
1726544162.07859,289.0203125
1726544164.0807536,290.75703124999995
1726544166.0818737,292.38125
1726544168.0838335,293.89296875
1726544170.0858133,295.70703125
1726544172.087827,297.471875
1726544174.0898368,299.1453125
1726544176.0908864,300.68515625
1726544178.092865,302.3796875
1726544180.0939486,304.025
1726544182.0958433,305.50859375
1726544184.096905,307.371875
1726544186.0985866,308.93984375
1726544188.1112852,310.5640625
1726544190.1126256,312.44140625
1726544192.1145623,314.28359375
1726544194.116626,315.9359375
1726544196.1176732,317.75
1726544198.1196277,319.38828125
1726544200.1213682,321.1109375
1726544202.1271207,322.7140625
1726544204.131202,324.26796875
1726544206.1332383,325.81484375
1726544208.1373348,327.41796875
1726544210.138848,329.05625
1726544212.1414244,330.97578125
1726544214.1434245,332.36796875000005
1726544216.1483617,334.02031250000005
1726544218.1503842,335.6234375
1726544220.151421,337.2265625
1726544222.1533766,338.984375
1726544224.1553535,340.5171875
1726544226.1564677,342.18359375
1726544228.1584399,343.84296874999995
1726544230.160129,345.340625
1726544232.165744,347.27421875000005
1726544234.166886,348.940625
1726544236.1678112,350.38203125
1726544238.1697032,352.0625
1726544240.1707501,353.5953125
1726544242.171886,355.128125
1726544244.1801872,356.68203125
1726544246.181275,358.334375
1726544248.183256,359.93046875
1726544250.1843166,361.50546875
1726544252.1862745,363.22109375
1726544254.1883175,364.85234375
1726544256.1900394,366.49765625
1726544258.192047,368.290625
1726544260.194282,369.95703125
1726544262.1954257,371.47578125
1726544264.1981976,372.96640625
1726544266.1991904,374.54140625
1726544268.2011528,376.1515625
1726544270.2091336,377.56484375
1726544272.211121,379.1890625
1726544274.2206337,381.0453125
1726544276.2256773,382.4234375
1726544278.2277892,383.87890625
1726544280.2288396,385.42578125
1726544282.2329102,386.80390625
1726544284.2340746,388.34375
1726544286.2352242,389.82734375
1726544288.2441418,391.41640625
1726544290.2452273,393.00546875
1726544292.2469516,394.53828125
1726544294.251429,396.275
1726544296.2534285,397.75859375000005
1726544298.2545311,399.27031250000005
1726544300.2555842,400.66953125
1726544302.2586646,402.13203125
1726544304.2606552,403.66484375
1726544306.2617092,405.078125
1726544308.2642457,406.67421875
1726544310.2666712,408.10859375
1726544312.2702522,409.6625
1726544314.2712467,411.3359375
1726544316.2732058,412.7421875
1726544318.27422,414.22578125
1726544320.2751493,415.878125
1726544322.2863305,417.19296875
1726544324.2907267,418.6484375
1726544326.2924488,420.20234374999995
1726544328.2945938,421.70703125
1726544330.296743,423.21171875000005
1726544332.3019772,424.88515625
1726544334.3039641,426.3546875
1726544336.3109252,428.10546875
1726544338.3120053,429.58203125
1726544340.3129911,430.99531249999995
1726544342.3149593,432.39453125
1726544344.3265455,433.821875
1726544346.3315592,435.40390625
1726544348.3335762,436.81718750000005
1726544350.3355682,438.18125
1726544352.338799,439.69296875
1726544354.342916,441.09921875
1726544356.3439488,442.765625
1726544358.3459198,444.16484375
1726544360.3478405,445.57109375
1726544362.3498003,447.00546875
1726544364.3521554,448.46796874999995
1726544366.353214,449.90234375
1726544368.355345,451.35078125
1726544370.3576324,452.609375
1726544372.3596466,454.15625
1726544374.3613613,455.50625
1726544376.362429,457.1515625
1726544378.3643897,458.54375
1726544380.3688722,459.98515625
1726544382.370597,461.2578125
1726544384.3768497,462.621875
1726544386.378055,463.9015625
1726544388.380046,465.30078125
1726544390.3841035,466.74921875
1726544392.386454,468.359375
1726544394.3884296,469.653125
1726544396.3904452,471.01015625
1726544398.3924866,472.41640625
1726544400.4023063,473.83671875000005
1726544402.404322,475.1796875
1726544404.4064274,476.4875
1726544406.4075077,477.7953125
1726544408.4095101,479.1734375
1726544410.4121487,480.59375
1726544412.413208,482.03515625
1726544414.4151976,483.38515625
1726544416.4162629,484.6578125
1726544418.4182916,485.96562500000005
1726544420.4290407,487.22421875
1726544422.4317093,488.609375
1726544424.4387045,489.9875
1726544426.4424357,491.28828125
1726544428.444139,492.58906249999995
1726544430.4460833,493.953125
1726544432.4478917,495.31015625
1726544434.449855,496.51953125
1726544436.45093,497.85546875
1726544438.4528775,499.09296874999995
1726544440.4548647,500.4359375
1726544442.458237,501.73671875
1726544444.4604461,503.00234375
1726544446.4621823,504.22578124999995
1726544448.4650095,505.59687499999995
1726544450.4706368,506.7640625
1726544452.4758947,508.28984375
1726544454.4779139,509.6609375
1726544456.478984,510.8421875
1726544458.4809403,512.0796875
1726544460.4920273,513.45078125
1726544462.4957845,514.8640625
1726544464.4978144,516.0734375
1726544466.4988515,517.44453125
1726544468.5025983,518.69609375
1726544470.5086546,519.996875
1726544472.5155616,521.234375
1726544474.5175533,522.6125
1726544476.5196295,523.98359375
1726544478.5207176,525.1296875
1726544480.5314624,526.37421875
1726544482.5431063,527.675
1726544484.5451002,528.89140625
1726544486.5461342,530.17109375
1726544488.548242,531.4296875
1726544490.551413,532.5828125
1726544492.558429,533.778125
1726544494.5604095,535.1703125
1726544496.5614715,536.27421875
1726544498.5633934,537.40625
1726544500.5653863,538.62265625
1726544502.5665243,539.90234375
1726544504.5685017,541.175
1726544506.5704858,542.26484375
1726544508.5737915,543.44609375
1726544510.5775542,544.6203125
1726544512.5821068,546.0335937499999
1726544514.5840607,547.22890625
1726544516.5861094,548.4734375
1726544518.590497,549.6125
1726544520.5926917,550.63203125
1726544522.5970886,551.8203125
1726544524.5991163,553.0578125
1726544526.6010818,554.20390625
1726544528.6027615,555.31484375
1726544530.607516,556.49609375
1726544532.6092217,557.76171875
1726544534.6111844,558.91484375
1726544536.6131961,560.05390625
1726544538.6224115,561.16484375
1726544540.6262293,562.26171875
1726544542.6282737,563.39375
1726544544.6299562,564.65234375
1726544546.631933,565.79140625
1726544548.6329644,566.80390625
1726544550.634868,567.98515625
1726544552.6359162,569.3140625
1726544554.6378188,570.48125
1726544556.6397524,571.48671875
1726544558.641734,572.79453125
1726544560.6436822,573.7578125
1726544562.6448317,574.94609375
1726544564.6469252,576.01484375
1726544566.6512265,577.11171875
1726544568.6529372,578.24375
1726544570.6569784,579.37578125
1726544572.660809,580.73984375
1726544574.6627643,581.8578125
1726544576.6647797,582.9124999999999
1726544578.673252,583.953125
1726544580.6786993,584.9937500000001
1726544582.68076,586.175
1726544584.686311,587.15234375
1726544586.6884875,588.4109375
1726544588.6941957,589.34609375
1726544590.6969528,590.4921875
1726544592.6985302,591.52578125
1726544594.7039986,592.6296875
1726544596.7113237,593.70546875
1726544598.7168078,594.8375
1726544600.7176905,595.8921875
1726544602.7268946,597.003125
1726544604.7287707,598.17734375
1726544606.729949,599.17578125
1726544608.730961,600.2796875
1726544610.7329223,601.39765625
1726544612.7339954,602.35390625
1726544614.7359605,603.1203125
1726544616.7397368,603.5421875
1726544618.740751,603.78125
1726544620.7423663,604.0203125
1726544622.7504182,604.1328125
1726544624.7523394,604.146875
1726544626.7567234,604.2171875
1726544628.7577605,604.203125
1726544630.7604446,604.1820312499999
1726544632.763131,604.11875
1726544634.7651548,604.0765625
1726544636.766249,603.95
1726544638.768182,603.8515625
1726544640.779336,603.74609375
1726544642.781395,603.63359375
1726544644.7834423,603.4578125
1726544646.7854922,603.275
1726544648.790977,603.11328125
1726544650.792977,602.9234375
1726544652.794297,602.796875
1726544654.796209,602.6703125
1726544656.800354,602.5015625
1726544658.801373,602.234375
1726544660.8075547,602.03046875
1726544662.809589,601.7703125
1726544664.8112857,601.6226562500001
1726544666.8123648,601.4609375
1726544668.8221166,601.1234375
1726544670.8240495,600.98984375
1726544672.8260264,600.70859375
1726544674.8272984,600.4765625
1726544676.8295121,600.18125
1726544678.8305442,599.87890625
